n,method,runs,success,success_rate,avg_time_sec
8,CSP_basic,1,1,1.0,0.0003074169999999765
16,CSP_basic,1,1,1.0,0.02752412500000001
32,CSP_basic,1,0,0.0,5.010718958
64,CSP_basic,1,0,0.0,5.12938675
8,CSP_dynamic,1,1,1.0,0.0002231659999996083
16,CSP_dynamic,1,1,1.0,0.002303417000000252
32,CSP_dynamic,1,1,1.0,0.007285666999999663
64,CSP_dynamic,1,1,1.0,0.11847679099999908
8,SA,10,10,1.0,0.07890887499999995
16,SA,10,10,1.0,0.23327377509999964
32,SA,10,10,1.0,0.5552513456999991
64,SA,10,8,0.8,1.7362584707999993
8,GA,10,10,1.0,0.0065804415999991765
16,GA,10,2,0.2,1.0318262586000002
32,GA,10,2,0.2,1.2936491374000005
64,GA,10,1,0.1,2.9898377418000015
